"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 08/13/2025. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 5,274 Crashes containing 6,155 Units and 7,273 Persons"

"Filters Applied to current Query:"
"Crash Date Is Between  2024-11-05 08:25 and 2025-02-04 22:57"
"County Is In DALLAS or TARRANT or ELLIS or KAUFMAN or ROCKWALL or DENTON or COLLIN or JOHNSON"
"First Harmful Event Is In ANIMAL or OTHER OBJECT or FIXED OBJECT"


"Crash ID","County","Crash Date","Crash Time","First Harmful Event","Highway Number","Latitude","Longitude","Manner of Collision","Street Name","Surface Condition"
"20525231","DALLAS","2024-11-07","1610","FIXED OBJECT","0635","32.91562457","-96.95835531","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0635","1 - DRY"
"20526448","COLLIN","2024-11-07","1518","FIXED OBJECT","0121","33.10340063","-96.78852397","ONE MOTOR VEHICLE - TURNING LEFT","SH0121","1 - DRY"
"20490462","ROCKWALL","2024-11-08","0627","FIXED OBJECT","0740","32.8195357","-96.46600669","ONE MOTOR VEHICLE - GOING STRAIGHT","FM0740","2 - WET"
"20490485","TARRANT","2024-11-08","0534","FIXED OBJECT","No Data","32.79521428","-97.34908244","ONE MOTOR VEHICLE - GOING STRAIGHT","TX 183","2 - WET"
"20490674","KAUFMAN","2024-11-08","0259","FIXED OBJECT","0080","32.74044624","-96.41465273","ONE MOTOR VEHICLE - GOING STRAIGHT","US0080","2 - WET"
"20490829","KAUFMAN","2024-11-08","0815","FIXED OBJECT","No Data","32.52099238","-96.28271902","ONE MOTOR VEHICLE - GOING STRAIGHT","CR0151","2 - WET"
"20491300","DENTON","2024-11-08","1304","FIXED OBJECT","0035","33.17075509","-97.08615125","ONE MOTOR VEHICLE - TURNING RIGHT","IH0035E","1 - DRY"
"20491698","DALLAS","2024-11-08","0240","FIXED OBJECT","0035","32.73973955","-96.82300836","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0035E","2 - WET"
"20491699","DALLAS","2024-11-08","0337","FIXED OBJECT","0035","No Data","No Data","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0035E","2 - WET"
"20491702","DALLAS","2024-11-08","0551","FIXED OBJECT","0035","32.74392782","-96.81580164","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0035E","2 - WET"
"20491751","DALLAS","2024-11-08","0311","FIXED OBJECT","No Data","32.62437429","-96.90841255","ONE MOTOR VEHICLE - GOING STRAIGHT","W SG ALEXANDER FWY","2 - WET"
"20491861","DALLAS","2024-11-08","0540","FIXED OBJECT","No Data","32.79997479","-96.80965693","ONE MOTOR VEHICLE - GOING STRAIGHT","MAPLE AVE","2 - WET"
"20491892","DALLAS","2024-11-08","1115","FIXED OBJECT","0067","32.66054256","-96.87119362","ONE MOTOR VEHICLE - GOING STRAIGHT","US0067","2 - WET"
"20491945","DALLAS","2024-11-08","1513","FIXED OBJECT","0035","32.90663507","-96.89810971","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0035E","98 - OTHER (EXPLAIN IN NARRATIVE)"
"20492174","DALLAS","2024-11-08","0750","FIXED OBJECT","0635","32.90788419","-96.89869852","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0635","2 - WET"
"20492280","ELLIS","2024-11-08","1156","FIXED OBJECT","No Data","32.47242514","-97.00352999","ONE MOTOR VEHICLE - GOING STRAIGHT","WALTER STEPHENSON RD","2 - WET"
"20492529","DALLAS","2024-11-08","0748","FIXED OBJECT","No Data","No Data","No Data","ONE MOTOR VEHICLE - TURNING LEFT","N MOORE RD","1 - DRY"
"20492619","JOHNSON","2024-11-08","2151","ANIMAL","0174","32.29020514","-97.39072736","ONE MOTOR VEHICLE - GOING STRAIGHT","SH0174","1 - DRY"
"20492953","TARRANT","2024-11-08","0240","FIXED OBJECT","No Data","32.6601443","-97.28171245","ONE MOTOR VEHICLE - GOING STRAIGHT","WICHITA ST","1 - DRY"
"20493127","TARRANT","2024-11-08","1409","FIXED OBJECT","0183","32.83843271","-97.0854854","ONE MOTOR VEHICLE - GOING STRAIGHT","SH0183","2 - WET"
"20493245","DALLAS","2024-11-08","1104","FIXED OBJECT","0035","32.86033336","-96.89207426","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0035E","2 - WET"
"20493608","ELLIS","2024-11-08","1030","FIXED OBJECT","0045","32.53071123","-96.65902111","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0045","2 - WET"
"20494044","ELLIS","2024-11-08","2202","FIXED OBJECT","0045","32.37254065","-96.64289924","ONE MOTOR VEHICLE - GOING STRAIGHT","IH0045","1 - DRY"
"20494095","COLLIN","2024-11-08","1258","FIXED OBJECT","No Data","33.35538817","-96.71399869","ONE MOTOR VEHICLE - GOING STRAIGHT","CR0133","2 - WET"
"20494119","COLLIN","2024-11-08","1945","FIXED OBJECT","0121","33.38088034","-96.40643333","ONE MOTOR VEHICLE - GOING STRAIGHT","SH0121","2 - WET"
"20494133","DALLAS","2024-11-08","0323","FIXED OBJECT","No Data","32.90104149","-96.71765496","ONE MOTOR VEHICLE - GOING STRAIGHT","SKILLMAN ST","2 - WET"
"20494416","TARRANT","2024-11-08","1612","FIXED OBJECT","No Data","32.70588429","-97.31330687","ONE MOTOR VEHICLE - TURNING LEFT","E BERRY ST","1 - DRY"
"20494418","TARRANT","2024-11-08","1929","FIXED OBJECT","No Data","32.75470428","-97.17003248","ONE MOTOR VEHICLE - TURNING LEFT","EASTCHASE PKWY","1 - DRY"
